Id,Weekly_Sales
1_1_2012-11-02,36485.65605482143
1_1_2012-11-09,19156.63862583334
1_1_2012-11-16,19440.617566547626
1_1_2012-11-23,20122.434183333346
1_1_2012-11-30,21715.167128214296
1_1_2012-12-07,32606.976864999975
1_1_2012-12-14,46010.41979249996
1_1_2012-12-21,52481.84517440479
1_1_2012-12-28,22545.120480654754
1_1_2013-01-04,16523.266478333324
1_1_2013-01-11,17111.39748958332
1_1_2013-01-18,17819.46200083333
1_1_2013-01-25,18564.336390535696
1_1_2013-02-01,23535.671074047623
1_1_2013-02-08,40868.66825842265
1_1_2013-02-15,48200.46629050594
1_1_2013-02-22,19739.535450357143
1_1_2013-03-01,20705.749447380953
1_1_2013-03-08,21073.799516130945
1_1_2013-03-15,21582.82372976189
1_1_2013-03-22,22744.18967080357
1_1_2013-03-29,31227.251471607146
1_1_2013-04-05,41662.55403130955
1_1_2013-04-12,27185.085873571425
1_1_2013-04-19,26742.86366779763
1_1_2013-04-26,25096.639462886913
1_1_2013-05-03,18109.76348406744
1_1_2013-05-10,18114.127479285704
1_1_2013-05-17,16330.673235744052
1_1_2013-05-24,16084.300580873014
1_1_2013-05-31,16396.139320515882
1_1_2013-06-07,16774.415287599215
1_1_2013-06-14,16384.19413117064
1_1_2013-06-21,16204.74250943452
1_1_2013-06-28,15893.40822619048
1_1_2013-07-05,16969.73190377977
1_1_2013-07-12,16523.022019970245
1_1_2013-07-19,15895.007149107147
1_1_2013-07-26,15763.795544503966
1_2_2012-11-02,45716.06456288692
1_2_2012-11-09,44260.37413380955
1_2_2012-11-16,43155.624299583316
1_2_2012-11-23,44474.639399999985
1_2_2012-11-30,44677.348497083316
1_2_2012-12-07,47497.65690261904
1_2_2012-12-14,50389.45322833331
1_2_2012-12-21,59341.159130000015
1_2_2012-12-28,46429.792259999995
1_2_2013-01-04,43310.45403416664
1_2_2013-01-11,42101.28772624996
1_2_2013-01-18,42194.97967428573
1_2_2013-01-25,42074.316211904734
1_2_2013-02-01,49824.2002482143
1_2_2013-02-08,47957.62636288692
1_2_2013-02-15,47684.40645119048
1_2_2013-02-22,46050.313860922644
1_2_2013-03-01,49855.50938425596
1_2_2013-03-08,47291.49746622025
1_2_2013-03-15,45548.23534958332
1_2_2013-03-22,43865.934608244024
1_2_2013-03-29,45853.12250166667
1_2_2013-04-05,48718.896491964275
1_2_2013-04-12,44934.257396904766
1_2_2013-04-19,45307.9022511012
1_2_2013-04-26,45191.96129381942
1_2_2013-05-03,48973.806555763826
1_2_2013-05-10,45413.791489186486
1_2_2013-05-17,44673.30353281745
1_2_2013-05-24,45181.762850386884
1_2_2013-05-31,46420.78543999999
1_2_2013-06-07,47632.21560440477
1_2_2013-06-14,45082.06638529762
1_2_2013-06-21,44581.97093416665
1_2_2013-06-28,46485.04742583334
1_2_2013-07-05,46869.67885982145
1_2_2013-07-12,44342.57520265877
1_2_2013-07-19,44931.976491388916
1_2_2013-07-26,44745.92207103176
1_3_2012-11-02,9511.265922410705
1_3_2012-11-09,9576.248149464289
1_3_2012-11-16,9640.036697559517
1_3_2012-11-23,9885.212179345252
1_3_2012-11-30,10373.14727916667
1_3_2012-12-07,11671.583549553583
1_3_2012-12-14,12507.321671666676
1_3_2012-12-21,13376.449004940478
1_3_2012-12-28,8892.912576874998
1_3_2013-01-04,14338.981030714287
1_3_2013-01-11,13480.907843214289
1_3_2013-01-18,12444.978450833323
1_3_2013-01-25,11597.722381785714
1_3_2013-02-01,12146.807471369053
1_3_2013-02-08,11653.588008075396
1_3_2013-02-15,11166.746126309525
1_3_2013-02-22,10822.419288928573
1_3_2013-03-01,11387.441738650792
1_3_2013-03-08,10791.172979166655
1_3_2013-03-15,8984.976798492055
1_3_2013-03-22,9081.87999785714
1_3_2013-03-29,9359.722234047611
1_3_2013-04-05,9872.742891607137
1_3_2013-04-12,8553.307029255946
1_3_2013-04-19,8619.627969632933
1_3_2013-04-26,8802.437457460317
1_3_2013-05-03,10022.05911369048
1_3_2013-05-10,9076.319781746028
1_3_2013-05-17,8231.112673392856
1_3_2013-05-24,8214.013699146824
1_3_2013-05-31,8136.3826575793655
1_3_2013-06-07,7973.511859404764
1_3_2013-06-14,7921.885045416671
1_3_2013-06-21,6785.814512321422
1_3_2013-06-28,7357.538966071426
1_3_2013-07-05,8045.688474047616
1_3_2013-07-12,12892.875068750003
1_3_2013-07-19,17597.00306940476
1_3_2013-07-26,21011.533661666657
1_4_2012-11-02,38030.624600208284
1_4_2012-11-09,36500.241447648776
1_4_2012-11-16,37147.4410247619
1_4_2012-11-23,43737.860501934505
1_4_2012-11-30,41272.34778377974
1_4_2012-12-07,37754.072675595264
1_4_2012-12-14,38743.21430619051
1_4_2012-12-21,44290.4042684524
1_4_2012-12-28,39096.421271785715
1_4_2013-01-04,38233.18357886899
1_4_2013-01-11,35939.435314999995
1_4_2013-01-18,34113.874552738125
1_4_2013-01-25,33746.79601544644
1_4_2013-02-01,38040.27865083336
1_4_2013-02-08,37390.13202345236
1_4_2013-02-15,36517.18305005953
1_4_2013-02-22,34691.59204154763
1_4_2013-03-01,37678.15062974205
1_4_2013-03-08,35872.85349988096
1_4_2013-03-15,35795.40993342259
1_4_2013-03-22,35183.57073488095
1_4_2013-03-29,36533.56070874995
1_4_2013-04-05,38030.96287333335
1_4_2013-04-12,35433.469926736114
1_4_2013-04-19,35205.33611560517
1_4_2013-04-26,34871.65672214285
1_4_2013-05-03,37579.42078920635
1_4_2013-05-10,35585.60746896826
1_4_2013-05-17,34898.46347684526
1_4_2013-05-24,36891.59488547621
1_4_2013-05-31,38780.55140801589
1_4_2013-06-07,37829.38657872024
1_4_2013-06-14,36637.67531473214
1_4_2013-06-21,36104.0781914881
1_4_2013-06-28,38050.90902244048
1_4_2013-07-05,40799.86324943456
1_4_2013-07-12,36452.673836785725
1_4_2013-07-19,36452.411874702375
1_4_2013-07-26,35855.670924821425
